id	region_id	name	short_name	slug	group_id	province_id	group_slug	latitude	longitude
8220|	5924|	Cáceres|	Cáceres|	caceres|	152|	6090|	capital|	39.4752|	-6.3722|
8221|	6310|	La Coruña|	La Coruña|	la-coruna|	152|	6311|	capital|	43.3623|	-8.4115|
8222|	6310|	Lugo|	Lugo|	lugo|	152|	6406|	capital|	43.0097|	-7.5567|
8223|	6310|	Orense|	Orense|	orense|	152|	6474|	capital|	42.3357|	-7.8638|
8224|	6310|	Pontevedra|	Pontevedra|	pontevedra|	152|	6567|	capital|	42.4298|	-8.6446|
8226|	6630|	Palma de Mallorca|	Palma de Mallorca|	palma-de-mallorca|	152|	6631|	capital|	39.5696|	2.6501|
8233|	6699|	Logroño|	Logroño|	la-rioja|	152|	6700|	capital|	42.4653|	-2.4801|
8234|	6875|	Madrid|	Madrid|	madrid|	152|	6876|	capital|	40.4167|	-3.7037|
8236|	8179|	Melilla|	Melilla|	melilla|	152|	8235|	capital|	35.2922|	-2.938|
8237|	7056|	Murcia|	Murcia|	murcia|	152|	7057|	capital|	37.9922|	-1.1306|
8239|	7103|	Pamplona|	Pamplona|	navarra|	152|	7104|	capital|	42.8125|	-1.6457|
8240|	7377|	Vitoria|	Vitoria|	vitoria|	152|	7378|	capital|	42.8591|	-2.6818|
8242|	7377|	San Sebastián|	San Sebastián|	san-sebastian|	152|	7430|	capital|	43.3183|	-1.9812|
8245|	1515|	Oviedo|	Oviedo|	oviedo|	152|	1516|	capital|	43.3619|	-5.8493|
8246|	7632|	Valencia|	Valencia|	valencia|	152|	7911|	capital|	39.4699|	-0.3762|
8294|	7632|	Alicante|	Alicante|	alicante|	152|	7633|	capital|	38.346|	-0.4906|
8295|	7632|	Castellón de la Plana|	Castellón de la Plana|	castellon-de-la-plana|	152|	7775|	capital|	39.9863|	-0.0513|
8296|	1595|	Las Palmas de Gran Canaria|	Las Palmas de Gran Canaria|	las-palmas-de-gran-canaria|	152|	1596|	capital|	28.1235|	-15.4362|
8305|	7377|	Bilbao|	Bilbao|	bilbao|	152|	7519|	capital|	43.263|	-2.9349|
8311|	2715|	Zamora|	Zamora|	zamora|	152|	4724|	capital|	41.5034|	-5.7467|
8312|	1595|	Santa Cruz de Tenerife|	Santa Cruz de Tenerife|	santa-cruz-de-tenerife|	152|	1631|	capital|	28.4636|	-16.2518|
9403|	6310|	Santiago de Compostela|	Santiago de Compostela|	santiago-de-compostela|	152|	6311|	capital|	NULL|	NULL|
9404|	6310|	Vigo|	Vigo|	vigo|	152|	6567|	capital|	NULL|	NULL|
9405|	1515|	Gijón|	Gijón|	gijon|	152|	1516|	capital|	NULL|	NULL|
9406|	1515|	Avilés|	Avilés|	aviles|	152|	1516|	capital|	NULL|	NULL|
9407|	1515|	Llanes|	Llanes|	llanes|	152|	1516|	agencias-de-viajes-virtuales|	NULL|	NULL|
9408|	4973|	Sitges|	Sitges|	sitges|	152|	4974|	agencias-de-viajes-virtuales|	NULL|	NULL|
